experiment,PID,group,data,F1_micro,bias,std.error,conf.low,conf.high
felt touch,sub01,Control,,0.6666666666666666,0.007333333333333414,0.18910251124657168,0.3333333333333333,1
felt touch,sub02,Control,,0.5,-0.0020000000000000018,0.2002289869193727,0.16666666666666666,0.8333333333333334
felt touch,sub03,Control,,0.6666666666666666,0.005666666666666709,0.19509358254538986,0.3333333333333333,1
felt touch,sub04,Control,,0.6666666666666666,-0.013000000000000012,0.18835495400920818,0.3333333333333333,1
felt touch,sub05,Control,,0.3636363636363636,-0.0015996392496392398,0.20853380085955187,0,0.8324864976398172
felt touch,sub06,Control,,0.6666666666666666,-4.999999999999449e-4,0.18680406009500727,0.3333333333333333,1
felt touch,sub07,Control,,0.6666666666666666,1.666666666666483e-4,0.19793443144198378,0.17090084513425374,1
felt touch,sub08,Control,,0.3333333333333333,-0.006166666666666654,0.18965802015483946,0,0.6666666666666666
felt touch,sub09,Control,,0.8333333333333334,-0.004666666666666708,0.16143059689969919,0.5,1
felt touch,sub10,Control,,0.6666666666666666,-0.0030000000000000027,0.19357922760928212,0.3333333333333333,1
felt touch,sub11,Control,,0.5,-0.002333333333333354,0.2005029267763144,0.16666666666666666,0.8333333333333334
felt touch,sub12,Control,,0.5,-0.01266666666666666,0.2061386907557462,0.16666666666666666,0.8333333333333334
felt touch,sub13,Control,,0.1818181818181818,-0.0067282828282828055,0.16686237378320773,0,0.5454545454545454
felt touch,sub14,Control,,0.7272727272727272,-0.0022349927849927287,0.17740928021686628,0.3636363636363636,1
felt touch,sub16,Control,,0.6666666666666666,-0.0043333333333333,0.19138694390064587,0.3333333333333333,1
felt touch,sub17,Control,,0.4,0.005437518037518019,0.21578187367098178,0,0.8
felt touch,sub18,Control,,0.3636363636363636,5.111111111111288e-4,0.20755810471161548,0,0.8333333333333334
felt touch,sub19,Control,,0,0,0,NA,NA
felt touch,sub20,Control,,0.6666666666666666,-0.0033333333333332993,0.1865515160345835,0.3333333333333333,1
felt touch,sub21,Control,,0.16666666666666666,-0.0020000000000000018,0.15408427624650295,0,0.5
felt touch,sub22,Control,,0.4,0.0010822510822510734,0.2107437354189711,0,0.8
felt touch,sub23,Control,,0.5454545454545454,-0.005916161616161597,0.20945912803166697,0.16666666666666666,0.9090909090909091
felt touch,sub24,Control,,0.6666666666666666,0.0035000000000000586,0.1908948860608656,0.3333333333333333,1
felt touch,sub25,Control,,0.6666666666666666,0.005666666666666709,0.19003977245596546,0.3333333333333333,1
felt touch,sub26,Control,,0.8333333333333334,-0.012333333333333307,0.16137098918860002,0.5,1
felt touch,sub27,Control,,0.8,-0.020158874458874543,0.15031481381810777,0.5,1
felt touch,sub28,Control,,0.6666666666666666,0.002666666666666706,0.19156265765373723,0.3333333333333333,1
felt touch,sub29,Control,,0.7272727272727272,-8.53679653679551e-4,0.17792283361543443,0.3636363636363636,1
felt touch,sub30,Control,,0.7272727272727272,-0.012138023088023031,0.19000129555218415,0.25,1
felt touch,sub31,Control,,0.5,0.006333333333333302,0.1957844574423573,0.16666666666666666,0.8333333333333334
felt touch,sub32,Control,,1,0,0,NA,NA
felt touch,sub33,Control,,0.5,0.008499999999999952,0.2039809969973304,0.16666666666666666,0.8333333333333334
felt touch,sub34,Control,,0.6666666666666666,-1.666666666666483e-4,0.18258933880274117,0.3333333333333333,1
felt touch,sub35,Control,,0.3636363636363636,-0.01704545454545453,0.20686051564512656,0,0.7272727272727272
viewed touch,R_24N4TAb1v84O4mJ,Control,,0.7272727272727272,-0.012087518037517953,0.18360812436898055,0.3636363636363636,1
viewed touch,R_agEidu5kKdBHXzP,Control,,0.6666666666666666,-0.008499999999999952,0.18765117362532793,0.3333333333333333,1
viewed touch,R_1q8J7FX32lAGeVQ,Control,,0.5454545454545454,-0.006131096681096682,0.20278008685722926,0.16705159198190184,0.9090909090909091
viewed touch,R_2CUtZ3ltMFlwEDP,Control,,0.6666666666666666,0.010333333333333417,0.18881497700125494,0.3333333333333333,1
viewed touch,R_3fIhaWY3B2rFRId,Control,,0.6666666666666666,-0.006333333333333302,0.19378595780367147,0.3333333333333333,1
viewed touch,R_2VrreUdN8eRPacz,Control,,0.2,0.005079581529581517,0.1772361909253852,0,0.6
viewed touch,R_25Xdue1yhmQfEjV,Control,,0.6666666666666666,0,0.1920161543643404,0.3333333333333333,1
viewed touch,R_1ewmME8WozIgME0,Control,,0.8333333333333334,-0.0013333333333334085,0.15463189235485789,0.5,1
viewed touch,R_2zUaezQatmtsuCY,Control,,0.8333333333333334,-0.005333333333333412,0.15862971224783223,0.5,1
viewed touch,R_3gRYzUIgOmIE2jQ,Control,,0.6666666666666666,0.0016666666666667052,0.1970122174227117,0.3333333333333333,1
viewed touch,R_1dnnrVtroIJgPkG,Control,,0.6666666666666666,-0.0043333333333333,0.19427090783252784,0.3333333333333333,1
viewed touch,R_1hGMwLafqjQTLAU,Control,,0.1818181818181818,-0.004062121212121211,0.16361290754855717,0,0.5454545454545454
viewed touch,R_1jjpg9r9k0iqkcm,Control,,0.8333333333333334,-0.0076666666666667105,0.15993095774295205,0.5,1
viewed touch,R_OONzo8eHKpJPAUV,Control,,0.5454545454545454,-0.0029631313131313064,0.20937856635927737,0.16666666666666666,0.9090909090909091
viewed touch,R_1DqIkv4J3Z1L3K1,Control,,0.3333333333333333,5.000000000000004e-4,0.1871015211093262,0,0.6666666666666666
viewed touch,R_3lRdUEMf8yALvBw,Control,,0.5454545454545454,2.565656565656216e-4,0.21225195312603995,0.16666666666666666,0.9090909090909091
viewed touch,R_1r7lOuYz13e9Hr9,ASD,,0.6666666666666666,0.010333333333333417,0.19390071267343026,0.3333333333333333,1
viewed touch,R_3HTeYjNni2cvCba,Control,,0.3636363636363636,-0.00976464646464642,0.2007603437018073,0,0.7272727272727272
viewed touch,R_22y8SVVqPPS1FQG,ASD,,0.8333333333333334,0.0038333333333333552,0.15805856600660986,0.5,1
viewed touch,R_Z80JY38v5PmAiTT,Control,,0.3333333333333333,-0.002833333333333299,0.18558847477917303,0,0.6666666666666666
viewed touch,R_2RaW02UzcG3C414,Control,,0.5454545454545454,-2.3181818181816638e-4,0.205612221771165,0.1818181818181818,0.9090909090909091
viewed touch,R_3pn9XlqLdBUnj0k,ASD,,0.5,0.008333333333333304,0.20117412006055274,0.16666666666666666,0.8333333333333334
viewed touch,R_2Vg9LqZOG0zrezV,Control,,0.5454545454545454,-0.004516666666666613,0.20757237779588333,0.16666666666666666,0.9090909090909091
viewed touch,R_2PpnGmv28xDEyhK,Control,,0.6,-0.014528066378066362,0.21009417677520362,0.2,0.9090909090909091
viewed touch,R_2U2XfiKMkWOW8u5,Control,,0.4444444444444444,-0.019958585858585842,0.21573506129540682,0,0.8
viewed touch,R_29ackBUB6hK7HmH,Control,,0.6666666666666666,0.0013333333333334085,0.19041192490385164,0.3333333333333333,1
viewed touch,R_0ulITAMrFU92pEt,ASD,,0.5454545454545454,-0.009612121212121183,0.20695471788965633,0.16666666666666666,0.9090909090909091
viewed touch,R_eJUoqZ20XPkMKaJ,Control,,0.6,-0.012255411255411297,0.1997602218907089,0.2,0.9090909090909091
viewed touch,R_12fISp10CMwgFwt,Control,,0.5,-0.011833333333333362,0.20558051143046938,0.16666666666666666,0.8333333333333334
viewed touch,R_2gIsbawvs1x7zDX,Control,,0.6,-0.005277561327561298,0.19554124675674373,0.2,0.9090909090909091
viewed touch,R_3HitAhOgoOyQ8iN,Control,,0.7272727272727272,-0.005793939393939351,0.1775782391657533,0.3341031839638037,1
viewed touch,R_2CrIYD6MZV848bT,Control,,0.3636363636363636,-8.530303030302999e-4,0.20250586098723683,0,0.7272727272727272
viewed touch,R_vrwpqt1h2QWdNsJ,Control,,0.4444444444444444,2.2525252525251727e-4,0.21597150233700577,0,0.8324864976398172
viewed touch,R_2q44JuXjBZJvVtI,ASD,,0.7272727272727272,-0.016908730158730068,0.18567152385976055,0.3333333333333333,1
viewed touch,R_2ClzDR05jZBcSyf,Control,,0.2,-0.003651875901875906,0.17140751257578554,0,0.5454545454545454
viewed touch,R_21uIb37lY5Fwtfc,ASD,,0.5,-0.004500000000000004,0.2021923412346894,0.16666666666666666,0.8333333333333334
